"date","close","volume","open","high","low"
"2015/11/09","754.7700","1776667.0000","758.5200","763.3000","749.1100"
"2015/11/06","761.6000","1675784.0000","759.3900","763.0220","755.0300"
"2015/11/05","760.6700","2272684.0000","758.8100","766.3500","757.4700"
"2015/11/04","755.3100","2087911.0000","749.9000","759.9000","749.2000"
"2015/11/03","748.8200","1814805.0000","745.4300","751.6980","741.1600"
"2015/11/02","747.7400","1994264.0000","737.8800","748.1800","731.4500"
"2015/10/30","737.3900","1997533.0000","745.5600","746.3100","736.5300"
"2015/10/29","744.8500","1824574.0000","736.6300","746.7900","735.1600"
"2015/10/28","736.9200","1967439.0000","733.0000","737.3700","727.2700"
"2015/10/27","732.8200","1936404.0000","726.5700","735.9642","724.1350"
"2015/10/26","731.1200","2411726.0000","720.0200","734.9500","720.0200"
"2015/10/23","719.3300","6330015.0000","750.0600","752.5000","717.9400"
"2015/10/22","681.1400","4360204.0000","675.4400","688.0499","671.7000"
"2015/10/21","671.8000","1604735.0000","683.2100","684.9000","670.7000"
"2015/10/20","680.0000","2619471.0000","697.8900","698.0000","673.6800"
"2015/10/19","699.9500","1502651.0000","694.0000","700.2397","692.2100"
"2015/10/16","695.3200","1815517.0000","695.4000","696.2200","689.1000"
"2015/10/15","693.0200","2355459.0000","685.2500","694.1600","684.3900"
"2015/10/14","680.4100","1563983.0000","683.7300","690.0400","678.9000"
"2015/10/13","683.1700","2115479.0000","674.2600","688.4600","673.1080"
"2015/10/12","676.4300","1331892.0000","669.1900","677.9800","667.2400"
"2015/10/09","671.2400","1604461.0000","667.4900","674.0850","662.3600"
"2015/10/08","667.0000","1963318.0000","669.4500","671.8900","654.4900"
"2015/10/07","670.0000","2188886.0000","677.4000","678.7400","658.1100"
