date,close,volume,open,high,low
12/16/16,135.11,9429092,136.11,136.61,135.05
12/15/16,135.84,5836283,136.51,137.325,135.77
12/14/16,135.98,7029182,136.05,136.88,135.75
12/13/16,136.54,6789804,134.55,136.89,134.55
12/12/16,134.58,6272158,133.13,134.66,133.13
12/9/16,133.39,5168987,132.51,133.4,131.1
12/8/16,132.53,4975117,132.21,133.13,131.58
12/7/16,132.46,6985607,128.75,133.06,128.75
12/6/16,128.74,4292431,130.13,130.14,128.6775
12/5/16,129.68,4064655,130.32,130.46,129.56
12/2/16,129.87,3735762,129.04,130.615,128.91
12/1/16,129.47,5398638,129.34,130.35,129
11/30/16,129.4,6972768,129.34,130.32,128.81
11/29/16,129.62,4122995,130.35,130.78,129.25
11/28/16,130.64,4743742,131.25,131.65,130.17
11/25/16,131.57,2545977,131.86,132.135,131.07
11/23/16,131.21,3606202,131.36,131.99,130.86
11/22/16,130.98,5521684,128.38,131.3,128.38
11/21/16,128.22,4064958,128.28,128.9,127.41
11/18/16,128.33,4426357,128.93,129.36,127.72
11/17/16,128.93,6746358,125.87,129.14,125.7
11/16/16,125.33,9771110,123.6,125.7,123.28
11/15/16,124.4,13426200,127.07,127.67,122.92
11/14/16,127.67,11424460,130.5,130.64,126.94
11/11/16,129.85,5491391,129.06,130.13,128.72
11/10/16,129.03,8722531,126.72,130.1,126.51
11/9/16,126.02,8040724,120.95,126.26,120.32
11/8/16,124.25,6095418,123.95,125.42,123.6
11/7/16,123.75,5497371,122.5,123.98,122.31
11/4/16,120.91,4605646,120.54,121.9,120.06
11/3/16,120.18,5113481,120.34,120.93,120.08
11/2/16,120.29,4841690,119.93,121.29,119.82
11/1/16,119.89,7470169,121.69,122.25,119.2
10/31/16,122.01,5671523,123.35,123.5,121.62
10/28/16,123.58,4494671,122.7,124.09,122.2065
10/27/16,122.26,4259349,122.71,123.46,121.85
10/26/16,122.71,5454156,122.83,123.75,122.4
10/25/16,123.34,8722838,126.27,126.27,123.29
10/24/16,127.78,3821029,127.23,128.14,127.23
10/21/16,126.6,3217777,125.31,126.8,125.25
10/20/16,126.25,3543223,125.95,127.08,125.57
10/19/16,125.89,4095509,125.76,126.09,124.51
10/18/16,125.74,3558670,126.15,126.25,125.15
10/17/16,125.14,3746397,126.18,126.8,124.88
10/14/16,126.42,4462032,126.9,127.56,126.42
10/13/16,126.29,3655714,126.25,126.66,125.173
10/12/16,126.69,3543326,125.85,127.16,125.71
10/11/16,125.85,5106792,126.85,127.08,125.46
10/10/16,127.25,4345486,128.45,128.94,127.25
10/7/16,128.31,5496050,129.83,130.41,127.88
10/6/16,130.19,7459861,126.87,130.45,126.43
10/5/16,127.58,4107731,128.32,129.03,127.52
10/4/16,128.2,4847942,128.53,129.92,127.95
10/3/16,128.5,3652558,128.2,128.82,127.97
9/30/16,128.68,5613636,127.87,129.24,127.63
9/29/16,127.93,5983384,128.5,130.74,127.91
